"age","sex","category","population"
0,"Miehet","v1990",10
0,"Miehet","v2010",9
0,"Miehet","v2024",1
1,"Miehet","v1990",20
1,"Miehet","v2010",11
1,"Miehet","v2024",6
2,"Miehet","v1990",17
2,"Miehet","v2010",10
2,"Miehet","v2024",5
3,"Miehet","v1990",16
3,"Miehet","v2010",9
3,"Miehet","v2024",7
4,"Miehet","v1990",16
4,"Miehet","v2010",8
4,"Miehet","v2024",3
5,"Miehet","v1990",20
5,"Miehet","v2010",15
5,"Miehet","v2024",5
6,"Miehet","v1990",23
6,"Miehet","v2010",14
6,"Miehet","v2024",6
7,"Miehet","v1990",15
7,"Miehet","v2010",18
7,"Miehet","v2024",6
8,"Miehet","v1990",24
8,"Miehet","v2010",9
8,"Miehet","v2024",12
9,"Miehet","v1990",14
9,"Miehet","v2010",8
9,"Miehet","v2024",9
10,"Miehet","v1990",11
10,"Miehet","v2010",7
10,"Miehet","v2024",9
11,"Miehet","v1990",14
11,"Miehet","v2010",11
11,"Miehet","v2024",10
12,"Miehet","v1990",21
12,"Miehet","v2010",8
12,"Miehet","v2024",14
13,"Miehet","v1990",22
13,"Miehet","v2010",13
13,"Miehet","v2024",10
14,"Miehet","v1990",21
14,"Miehet","v2010",12
14,"Miehet","v2024",10
15,"Miehet","v1990",10
15,"Miehet","v2010",15
15,"Miehet","v2024",9
16,"Miehet","v1990",15
16,"Miehet","v2010",19
16,"Miehet","v2024",9
17,"Miehet","v1990",13
17,"Miehet","v2010",10
17,"Miehet","v2024",9
18,"Miehet","v1990",12
18,"Miehet","v2010",14
18,"Miehet","v2024",6
19,"Miehet","v1990",13
19,"Miehet","v2010",9
19,"Miehet","v2024",14
20,"Miehet","v1990",13
20,"Miehet","v2010",9
20,"Miehet","v2024",10
21,"Miehet","v1990",12
21,"Miehet","v2010",13
21,"Miehet","v2024",9
22,"Miehet","v1990",10
22,"Miehet","v2010",9
22,"Miehet","v2024",6
23,"Miehet","v1990",13
23,"Miehet","v2010",7
23,"Miehet","v2024",3
24,"Miehet","v1990",16
24,"Miehet","v2010",7
24,"Miehet","v2024",4
25,"Miehet","v1990",20
25,"Miehet","v2010",11
25,"Miehet","v2024",3
26,"Miehet","v1990",15
26,"Miehet","v2010",12
26,"Miehet","v2024",4
27,"Miehet","v1990",14
27,"Miehet","v2010",9
27,"Miehet","v2024",7
28,"Miehet","v1990",24
28,"Miehet","v2010",11
28,"Miehet","v2024",6
29,"Miehet","v1990",14
29,"Miehet","v2010",7
29,"Miehet","v2024",8
30,"Miehet","v1990",20
30,"Miehet","v2010",10
30,"Miehet","v2024",7
31,"Miehet","v1990",22
31,"Miehet","v2010",11
31,"Miehet","v2024",7
32,"Miehet","v1990",22
32,"Miehet","v2010",11
32,"Miehet","v2024",10
33,"Miehet","v1990",22
33,"Miehet","v2010",12
33,"Miehet","v2024",9
34,"Miehet","v1990",17
34,"Miehet","v2010",19
34,"Miehet","v2024",4
35,"Miehet","v1990",16
35,"Miehet","v2010",6
35,"Miehet","v2024",10
36,"Miehet","v1990",19
36,"Miehet","v2010",13
36,"Miehet","v2024",10
37,"Miehet","v1990",20
37,"Miehet","v2010",14
37,"Miehet","v2024",7
38,"Miehet","v1990",26
38,"Miehet","v2010",8
38,"Miehet","v2024",9
39,"Miehet","v1990",15
39,"Miehet","v2010",13
39,"Miehet","v2024",11
40,"Miehet","v1990",22
40,"Miehet","v2010",13
40,"Miehet","v2024",14
41,"Miehet","v1990",26
41,"Miehet","v2010",11
41,"Miehet","v2024",15
42,"Miehet","v1990",23
42,"Miehet","v2010",5
42,"Miehet","v2024",8
43,"Miehet","v1990",17
43,"Miehet","v2010",12
43,"Miehet","v2024",7
44,"Miehet","v1990",25
44,"Miehet","v2010",11
44,"Miehet","v2024",6
45,"Miehet","v1990",16
45,"Miehet","v2010",18
45,"Miehet","v2024",15
46,"Miehet","v1990",11
46,"Miehet","v2010",9
46,"Miehet","v2024",9
47,"Miehet","v1990",18
47,"Miehet","v2010",8
47,"Miehet","v2024",10
48,"Miehet","v1990",7
48,"Miehet","v2010",15
48,"Miehet","v2024",13
49,"Miehet","v1990",19
49,"Miehet","v2010",13
49,"Miehet","v2024",8
50,"Miehet","v1990",12
50,"Miehet","v2010",16
50,"Miehet","v2024",12
51,"Miehet","v1990",8
51,"Miehet","v2010",20
51,"Miehet","v2024",12
52,"Miehet","v1990",19
52,"Miehet","v2010",25
52,"Miehet","v2024",9
53,"Miehet","v1990",21
53,"Miehet","v2010",21
53,"Miehet","v2024",18
54,"Miehet","v1990",14
54,"Miehet","v2010",16
54,"Miehet","v2024",8
55,"Miehet","v1990",10
55,"Miehet","v2010",13
